,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
13,Application_42838382,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29500.0,5061733.669999838,3,58 days 14:02:14
73,Application_1588619628,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24000.0,4914278.103999853,3,56 days 21:04:38
80,Application_1947648225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22000.0,6978001.513999939,3,80 days 18:20:02
106,Application_58755651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,803127.2510001659,3,9 days 07:05:27
131,Application_1823402778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000.0,968918.7230000496,3,11 days 05:08:39
133,Application_895241174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22000.0,873203.4720001221,3,10 days 02:33:23
228,Application_368205428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18000.0,2362781.299000025,3,27 days 08:19:41
302,Application_1231177181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,830515.0570001602,3,9 days 14:41:55
353,Application_1173759169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,2856356.1139998436,3,33 days 01:25:56
410,Application_775833032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15000.0,1146598.893000126,3,13 days 06:29:59
479,Application_208148111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2806646.029000044,3,32 days 11:37:26
519,Application_275531167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,4473363.553999901,3,51 days 18:36:04
522,Application_1832081539,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30000.0,2078316.1989998817,3,24 days 01:18:36
610,Application_588083897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,4318303.870999813,3,49 days 23:31:44
654,Application_1152947139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25000.0,2672304.5390000343,3,30 days 22:18:25
699,Application_327983119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1361585.60800004,3,15 days 18:13:06
701,Application_1158729550,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,1801312.6800000668,3,20 days 20:21:53
719,Application_1086190151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000.0,6281365.0990002155,3,72 days 16:49:25
762,Application_224001459,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2640803.9389998913,3,30 days 13:33:24
764,Application_582897201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,3545636.3269999027,3,41 days 00:53:56
794,Application_527253429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,4120173.953999996,3,47 days 16:29:34
811,Application_2053020199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,2298380.0900001526,3,26 days 14:26:20
913,Application_1321130007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,45000.0,3403753.1530001163,3,39 days 09:29:13
1005,Application_374603853,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,3876619.5450000763,3,44 days 20:50:20
1033,Application_1122657249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,1038697.7120001316,3,12 days 00:31:38
1108,Application_1925488368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16500.0,3155721.085000038,3,36 days 12:35:21
1303,Application_1709057207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000.0,5345019.549000025,3,61 days 20:43:40
1308,Application_425716591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,3635715.4869999886,3,42 days 01:55:15
1394,Application_1610536940,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22000.0,1209142.0829999447,3,13 days 23:52:22
1400,Application_931374942,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33000.0,4309149.815999985,3,49 days 20:59:10
1428,Application_127976473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17500.0,1032440.4289999008,3,11 days 22:47:20
1440,Application_1056392515,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15000.0,3419191.4590001106,3,39 days 13:46:31
1459,Application_1648118746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,1555081.0939998627,3,17 days 23:58:01
1563,Application_98204416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,1452410.2849998474,3,16 days 19:26:50
1595,Application_575749274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25000.0,5093602.76699996,3,58 days 22:53:23
1630,Application_23872008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,5053884.100000143,3,58 days 11:51:24
1631,Application_660080351,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,2546052.60800004,3,29 days 11:14:13
1636,Application_414981334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,708267.0230000019,3,8 days 04:44:27
1655,Application_1946407808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,1036310.0,3,11 days 23:51:50
1672,Application_1681082552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,3057311.7920000553,3,35 days 09:15:12
1706,Application_912474149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25000.0,357065.30500006676,3,4 days 03:11:05
1763,Application_559666212,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,34200.0,3690702.405999899,3,42 days 17:11:42
1879,Application_1702727183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17000.0,2844324.98300004,3,32 days 22:05:25
2010,Application_417325171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000.0,1205552.9570000172,3,13 days 22:52:33
2086,Application_2071646053,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,4555190.957999945,3,52 days 17:19:51
2105,Application_588423912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1615087.9709999561,3,18 days 16:38:08
2125,Application_1743880423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25000.0,2777004.515999794,3,32 days 03:23:25
2148,Application_1116176146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,4135187.146000147,3,47 days 20:39:47
2260,Application_655789917,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,35000.0,2661043.748999834,3,30 days 19:10:44
2266,Application_1487177568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26000.0,4301580.217999935,3,49 days 18:53:00
2445,Application_2144131288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,41000.0,1398053.6119999886,3,16 days 04:20:54
2448,Application_438333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,45000.0,7426968.929000139,3,85 days 23:02:49
2460,Application_369604069,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,45000.0,1630702.7630000114,3,18 days 20:58:23
2724,Application_379062460,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21000.0,2678698.9470000267,3,31 days 00:04:59
2748,Application_1454446491,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5655812.736000061,3,65 days 11:03:33
3113,Application_431394553,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,3451343.527999878,3,39 days 22:42:24
3152,Application_1447649427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,1712349.9680001736,3,19 days 19:39:10
3208,Application_1339159850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000.0,1457816.648000002,3,16 days 20:56:57
3271,Application_74146714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,2248549.196000099,3,26 days 00:35:49
3287,Application_799878417,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000.0,4614604.361000061,3,53 days 09:50:04
3325,Application_1773292216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,645195.2539999485,3,7 days 11:13:15
