,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,Surprisingness,Effectiveness
80,Application_1947648225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22000.0,6978001.513999939,3,80 days 18:20:02,54748.52228914135,60223353.35374453
2448,Application_438333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,45000.0,7426968.929000139,3,85 days 23:02:49,54748.52228914135,60223353.35374453
3471,Application_1883905628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20500.0,7200351.907000065,3,83 days 08:05:52,54748.52228914135,60223353.35374453
3533,Application_1108271369,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25000.0,8080018.330000162,3,93 days 12:26:58,54748.52228914135,60223353.35374453
6536,Application_478108820,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,35000.0,10346149.892000198,3,119 days 17:55:50,54748.52228914135,60223353.35374453
6949,Application_1219772874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23500.0,7216437.563000202,3,83 days 12:33:58,54748.52228914135,60223353.35374453
8320,Application_315416169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19000.0,9411715.832999945,3,108 days 22:21:56,54748.52228914135,60223353.35374453
11899,Application_1494615660,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,6886162.664000034,3,79 days 16:49:23,54748.52228914135,60223353.35374453
14089,Application_846553309,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20000.0,9072762.260999918,3,105 days 00:12:42,54748.52228914135,60223353.35374453
14434,Application_1677498057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,40000.0,9842145.23300004,3,113 days 21:55:45,54748.52228914135,60223353.35374453
15595,Application_549914318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,60000.0,7698164.196999788,3,89 days 02:22:44,54748.52228914135,60223353.35374453
