,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
0,Application_652823628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,1144676.1190001965,1,13 days 05:57:56
1,Application_1691306052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,530018.2249999046,1,6 days 03:13:38
2,Application_428409768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,1107636.2909998894,2,12 days 19:40:36
3,Application_1746793196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,2331837.394999981,2,26 days 23:43:57
4,Application_828200680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,2743216.489000082,1,31 days 18:00:16
5,Application_1085880569,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13000.0,5075728.960000038,2,58 days 17:55:29
6,Application_1266995739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,699993.4210000038,1,8 days 02:26:33
7,Application_1878239836,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,849326.5870001316,1,9 days 19:55:27
8,Application_619403287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,1792214.8380000591,1,20 days 17:50:15
9,Application_1710223761,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11000.0,2738233.4309999943,1,31 days 16:37:13
10,Application_1529124572,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,2227382.2640001774,1,25 days 18:43:02
11,Application_387012864,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,2732435.6330001354,1,31 days 15:00:36
12,Application_1120819670,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6850.0,839956.4809999466,1,9 days 17:19:16
13,Application_42838382,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29500.0,5061733.669999838,3,58 days 14:02:14
14,Application_180547487,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,935552.9379999638,1,10 days 19:52:33
15,Application_1966208034,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40000.0,2728411.269999981,1,31 days 13:53:31
16,Application_1806387393,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,847272.9160001278,1,9 days 19:21:13
17,Application_1111870538,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000.0,571583.364000082,1,6 days 14:46:23
18,Application_1017492916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,2720503.8050000668,1,31 days 11:41:44
19,Application_2082119944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1099418.5289998055,1,12 days 17:23:39
20,Application_758985626,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17000.0,4452604.54399991,1,51 days 12:50:05
21,Application_1018615109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17000.0,1763882.851999998,2,20 days 09:58:03
22,Application_319587802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7000.0,2019872.614000082,3,23 days 09:04:33
23,Application_1846626914,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,963058.8600001335,1,11 days 03:30:59
24,Application_546206358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,780151.5920000076,1,9 days 00:42:32
25,Application_196483749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,5003337.792000055,4,57 days 21:48:58
26,Application_1363980603,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7500.0,446880.30900001526,1,5 days 04:08:00
27,Application_1553362978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12000.0,5002442.61500001,3,57 days 21:34:03
