,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
168,Application_920048730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40000.0,2738112.463000059,2,31 days 16:35:12,14,31
267,Application_1943199357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50000.0,692242.5520000458,1,8 days 00:17:23,14,8
325,Application_493812399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45000.0,1244474.0280001163,1,14 days 09:41:14,14,14
569,Application_515209816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7000.0,1490359.3459999561,2,17 days 05:59:19,14,17
796,Application_672060895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,782408.4330000877,1,9 days 01:20:08,14,9
935,Application_65790749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,3951788.4129998684,2,45 days 17:43:08,14,45
1820,Application_615376232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50000.0,1716971.0369999409,2,19 days 20:56:11,14,19
1918,Application_1430907125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,2405975.404000044,1,27 days 20:19:35,14,27
1954,Application_477844147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17000.0,1961142.643000126,2,22 days 16:45:43,14,22
2226,Application_1415098372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000.0,868591.634000063,1,10 days 01:16:32,14,10
2232,Application_496542202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47000.0,954900.3650000095,1,11 days 01:15:00,14,11
