,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
1303,Application_1709057207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000.0,5345019.549000025,3,61 days 20:43:40,4,61,59510.69585891115,160678850.99677792
1652,Application_1741752833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30000.0,10335252.018000126,4,119 days 14:54:12,4,119,59510.69585891115,160678850.99677792
2280,Application_2081270236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9750.0,6721016.478999853,2,77 days 18:56:56,4,77,59510.69585891115,160678850.99677792
2462,Application_2011518740,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,24716658.654000044,1,286 days 01:44:19,4,286,59510.69585891115,160678850.99677792
7931,Application_333578134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6500.0,5943507.809000015,3,68 days 18:58:28,4,68,59510.69585891115,160678850.99677792
8492,Application_2142045957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,22454261.98999977,1,259 days 21:17:42,4,259,59510.69585891115,160678850.99677792
10708,Application_408317779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8000.0,7839613.055999994,6,90 days 17:40:13,4,90,59510.69585891115,160678850.99677792
10882,Application_489359865,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,5667568.868999958,3,65 days 14:19:29,4,65,59510.69585891115,160678850.99677792
10904,Application_850377333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6630689.011000156,3,76 days 17:51:29,4,76,59510.69585891115,160678850.99677792
11531,Application_357201241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6386099.303999901,1,73 days 21:54:59,4,73,59510.69585891115,160678850.99677792
14600,Application_1283264254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,14607859.828999996,1,169 days 01:44:20,4,169,59510.69585891115,160678850.99677792
15389,Application_757181215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,7589951.917999983,1,87 days 20:19:12,4,87,59510.69585891115,160678850.99677792
16479,Application_1080224644,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10000.0,5343133.167999983,1,61 days 20:12:13,4,61,59510.69585891115,160678850.99677792
16627,Application_1607375745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40000.0,6887433.182999849,1,79 days 17:10:33,4,79,59510.69585891115,160678850.99677792
16932,Application_1292983087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6204434.038999796,1,71 days 19:27:14,4,71,59510.69585891115,160678850.99677792
17048,Application_2070946605,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,5424861.319999933,2,62 days 18:54:21,4,62,59510.69585891115,160678850.99677792
18678,Application_1048729110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,5684044.335999966,1,65 days 18:54:04,4,65,59510.69585891115,160678850.99677792
19695,Application_18292630,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,37500.0,5820934.391000032,3,67 days 08:55:34,4,67,59510.69585891115,160678850.99677792
21221,Application_2128172349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,7416128.944000006,2,85 days 20:02:09,4,85,59510.69585891115,160678850.99677792
22200,Application_485567867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40000.0,5536424.21999979,4,64 days 01:53:44,4,64,59510.69585891115,160678850.99677792
22513,Application_274240684,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,75000.0,5537235.669000149,3,64 days 02:07:16,4,64,59510.69585891115,160678850.99677792
23864,Application_461173805,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22000.0,5450085.900000095,2,63 days 01:54:46,4,63,59510.69585891115,160678850.99677792
25295,Application_1978331738,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000.0,5494098.441000223,2,63 days 14:08:18,4,63,59510.69585891115,160678850.99677792
27578,Application_1275545255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6196207.497999907,4,71 days 17:10:07,4,71,59510.69585891115,160678850.99677792
27988,Application_726893387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,5783845.599999905,1,66 days 22:37:26,4,66,59510.69585891115,160678850.99677792
28684,Application_366057893,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25000.0,5531438.568000078,1,64 days 00:30:39,4,64,59510.69585891115,160678850.99677792
28802,Application_27578277,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,5601009.236000061,4,64 days 19:50:09,4,64,59510.69585891115,160678850.99677792
