,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
30,Application_2012588584,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2158234.3989999294,2,24 days 23:30:34,28,24
109,Application_1660185664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4264397.939999819,1,49 days 08:33:18,22,49
111,Application_1446096185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1557482.3759999275,2,18 days 00:38:02,28,18
124,Application_927205634,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2415917.5720000267,1,27 days 23:05:18,22,27
132,Application_2108937169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1545162.7940001488,1,17 days 21:12:43,22,17
153,Application_1432907447,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1539718.1610000134,1,17 days 19:41:58,22,17
167,Application_369018038,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2651821.815000057,1,30 days 16:37:02,11,30
174,Application_1159653941,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2649428.4279999733,1,30 days 15:57:08,22,30
176,Application_1616009132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1524261.1210000515,1,17 days 15:24:21,22,17
177,Application_53530491,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,838813.0950000286,1,9 days 17:00:13,22,9
195,Application_485131054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1195455.2829999924,2,13 days 20:04:15,28,13
199,Application_1428307326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25000.0,590331.0590000153,1,6 days 19:58:51,12,6
