,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
1303,Application_1709057207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000.0,5345019.549000025,3,61 days 20:43:40,42,61,59765.031507035186,167342062.21768847
1652,Application_1741752833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30000.0,10335252.018000126,4,119 days 14:54:12,43,119,59765.031507035186,167342062.21768847
2280,Application_2081270236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9750.0,6721016.478999853,2,77 days 18:56:56,28,77,59765.031507035186,167342062.21768847
2462,Application_2011518740,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,24716658.654000044,1,286 days 01:44:19,16,286,59765.031507035186,167342062.21768847
7931,Application_333578134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6500.0,5943507.809000015,3,68 days 18:58:28,39,68,59765.031507035186,167342062.21768847
8492,Application_2142045957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,22454261.98999977,1,259 days 21:17:42,16,259,59765.031507035186,167342062.21768847
10708,Application_408317779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8000.0,7839613.055999994,6,90 days 17:40:13,40,90,59765.031507035186,167342062.21768847
10882,Application_489359865,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,5667568.868999958,3,65 days 14:19:29,39,65,59765.031507035186,167342062.21768847
10904,Application_850377333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6630689.011000156,3,76 days 17:51:29,39,76,59765.031507035186,167342062.21768847
11531,Application_357201241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6386099.303999901,1,73 days 21:54:59,16,73,59765.031507035186,167342062.21768847
13106,Application_674937485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35000.0,7257832.411000013,2,84 days 00:03:52,29,84,59765.031507035186,167342062.21768847
14600,Application_1283264254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,14607859.828999996,1,169 days 01:44:20,16,169,59765.031507035186,167342062.21768847
15389,Application_757181215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,7589951.917999983,1,87 days 20:19:12,16,87,59765.031507035186,167342062.21768847
16479,Application_1080224644,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10000.0,5343133.167999983,1,61 days 20:12:13,16,61,59765.031507035186,167342062.21768847
16627,Application_1607375745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40000.0,6887433.182999849,1,79 days 17:10:33,16,79,59765.031507035186,167342062.21768847
16932,Application_1292983087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6204434.038999796,1,71 days 19:27:14,16,71,59765.031507035186,167342062.21768847
17048,Application_2070946605,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,5424861.319999933,2,62 days 18:54:21,29,62,59765.031507035186,167342062.21768847
18678,Application_1048729110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,5684044.335999966,1,65 days 18:54:04,16,65,59765.031507035186,167342062.21768847
19695,Application_18292630,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,37500.0,5820934.391000032,3,67 days 08:55:34,42,67,59765.031507035186,167342062.21768847
21221,Application_2128172349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,7416128.944000006,2,85 days 20:02:09,28,85,59765.031507035186,167342062.21768847
22200,Application_485567867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40000.0,5536424.21999979,4,64 days 01:53:44,43,64,59765.031507035186,167342062.21768847
22513,Application_274240684,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,75000.0,5537235.669000149,3,64 days 02:07:16,42,64,59765.031507035186,167342062.21768847
23864,Application_461173805,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22000.0,5450085.900000095,2,63 days 01:54:46,29,63,59765.031507035186,167342062.21768847
25295,Application_1978331738,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000.0,5494098.441000223,2,63 days 14:08:18,29,63,59765.031507035186,167342062.21768847
27578,Application_1275545255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6196207.497999907,4,71 days 17:10:07,40,71,59765.031507035186,167342062.21768847
27988,Application_726893387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,5783845.599999905,1,66 days 22:37:26,16,66,59765.031507035186,167342062.21768847
28684,Application_366057893,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25000.0,5531438.568000078,1,64 days 00:30:39,16,64,59765.031507035186,167342062.21768847
28802,Application_27578277,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,5601009.236000061,4,64 days 19:50:09,40,64,59765.031507035186,167342062.21768847
