,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,Surprisingness,Effectiveness
24397,C13013,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,94,0.0,0,516.46,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00,543478.8747613626,8166802332611.512
24405,C13054,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,94,0.0,0,516.46,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00,543478.8747613626,8166802332611.512
28009,L2224,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00,543478.8747613626,8166802332611.512
28010,L2234,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,777600.0,0,0,0,0,0,0,0,0,1,0,0,9 days 00:00:00,543478.8747613626,8166802332611.512
28012,L2244,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00,543478.8747613626,8166802332611.512
28013,L2246,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00,543478.8747613626,8166802332611.512
28016,L2346,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00,543478.8747613626,8166802332611.512
28019,L2402,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00,543478.8747613626,8166802332611.512
28026,L2440,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00,543478.8747613626,8166802332611.512
28028,L2514,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,180,0.0,0,398.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00,543478.8747613626,8166802332611.512
