,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time
12,A10012,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11574000.0,0,0,0,0,0,0,0,0,1,0,0,133 days 23:00:00
27,A10041,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11314800.0,0,0,0,0,0,0,0,0,1,0,0,130 days 23:00:00
31,A10045,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11314800.0,0,0,0,0,0,0,0,0,1,0,0,130 days 23:00:00
36,A10054,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11401200.0,0,0,0,0,0,0,0,0,1,0,0,131 days 23:00:00
48,A10072,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11142000.0,0,0,0,0,0,0,0,0,1,0,0,128 days 23:00:00
49,A10074,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11142000.0,0,0,0,0,0,0,0,0,1,0,0,128 days 23:00:00
52,A10077,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11055600.0,0,0,0,0,0,0,0,0,1,0,0,127 days 23:00:00
74,A10109,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11487600.0,0,0,0,0,0,0,0,0,1,0,0,132 days 23:00:00
78,A10117,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11401200.0,0,0,0,0,0,0,0,0,1,0,0,131 days 23:00:00
79,A10118,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11401200.0,0,0,0,0,0,0,0,0,1,0,0,131 days 23:00:00
80,A10119,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11401200.0,0,0,0,0,0,0,0,0,1,0,0,131 days 23:00:00
112,A10163,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11314800.0,0,0,0,0,0,0,0,0,1,0,0,130 days 23:00:00
118,A10174,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11142000.0,0,0,0,0,0,0,0,0,1,0,0,128 days 23:00:00
120,A10177,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11142000.0,0,0,0,0,0,0,0,0,1,0,0,128 days 23:00:00
121,A10178,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11055600.0,0,0,0,0,0,0,0,0,1,0,0,127 days 23:00:00
124,A10184,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,17362800.0,0,0,0,0,0,0,0,0,1,0,0,200 days 23:00:00
125,A10185,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10969200.0,0,0,0,0,0,0,0,0,1,0,0,126 days 23:00:00
127,A10187,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,13906800.0,0,0,0,0,0,0,0,0,1,0,0,160 days 23:00:00
128,A10188,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10882800.0,0,0,0,0,0,0,0,0,1,0,0,125 days 23:00:00
145,A10220,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11228400.0,0,0,0,0,0,0,0,0,1,0,0,129 days 23:00:00
149,A10226,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11055600.0,0,0,0,0,0,0,0,0,1,0,0,127 days 23:00:00
150,A10228,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11055600.0,0,0,0,0,0,0,0,0,1,0,0,127 days 23:00:00
153,A10231,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11055600.0,0,0,0,0,0,0,0,0,1,0,0,127 days 23:00:00
161,A10245,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10796400.0,0,0,0,0,0,0,0,0,1,0,0,124 days 23:00:00
165,A10251,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10796400.0,0,0,0,0,0,0,0,0,1,0,0,124 days 23:00:00
166,A10253,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10796400.0,0,0,0,0,0,0,0,0,1,0,0,124 days 23:00:00
168,A10262,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10623600.0,0,0,0,0,0,0,0,0,1,0,0,122 days 23:00:00
170,A10264,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10623600.0,0,0,0,0,0,0,0,0,1,0,0,122 days 23:00:00
171,A10265,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10623600.0,0,0,0,0,0,0,0,0,1,0,0,122 days 23:00:00
176,A10271,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10537200.0,0,0,0,0,0,0,0,0,1,0,0,121 days 23:00:00
178,A10277,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
179,A10280,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
190,A10291,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
193,A10296,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11574000.0,0,0,0,0,0,0,0,0,1,0,0,133 days 23:00:00
204,A10317,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10796400.0,0,0,0,0,0,0,0,0,1,0,0,124 days 23:00:00
221,A10339,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
224,A10345,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
227,A10354,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11401200.0,0,0,0,0,0,0,0,0,1,0,0,131 days 23:00:00
233,A10367,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9846000.0,0,0,0,0,0,0,0,0,1,0,0,113 days 23:00:00
242,A10385,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10800000.0,0,0,0,0,0,0,0,0,1,0,0,125 days 00:00:00
249,A10396,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10195200.0,0,0,0,0,0,0,0,0,1,0,0,118 days 00:00:00
289,A10452,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10710000.0,0,0,0,0,0,0,0,0,1,0,0,123 days 23:00:00
291,A10457,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10537200.0,0,0,0,0,0,0,0,0,1,0,0,121 days 23:00:00
308,A10478,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10278000.0,0,0,0,0,0,0,0,0,1,0,0,118 days 23:00:00
312,A10481,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,12614400.0,0,0,0,0,0,0,0,0,1,0,0,146 days 00:00:00
313,A10482,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9676800.0,0,0,0,0,0,0,0,0,1,0,0,112 days 00:00:00
326,A10500,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9331200.0,0,0,0,0,0,0,0,0,1,0,0,108 days 00:00:00
335,A10513,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10623600.0,0,0,0,0,0,0,0,0,1,0,0,122 days 23:00:00
336,A10514,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
338,A10517,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
340,A10521,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
343,A10526,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
346,A10531,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10450800.0,0,0,0,0,0,0,0,0,1,0,0,120 days 23:00:00
357,A10549,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10364400.0,0,0,0,0,0,0,0,0,1,0,0,119 days 23:00:00
394,A10605,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11055600.0,0,0,0,0,0,0,0,0,1,0,0,127 days 23:00:00
397,A10614,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10969200.0,0,0,0,0,0,0,0,0,1,0,0,126 days 23:00:00
412,A10639,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10278000.0,0,0,0,0,0,0,0,0,1,0,0,118 days 23:00:00
458,A10701,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9331200.0,0,0,0,0,0,0,0,0,1,0,0,108 days 00:00:00
463,A10712,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,18406800.0,0,0,0,0,0,0,0,0,1,0,0,213 days 01:00:00
465,A10715,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9244800.0,0,0,0,0,0,0,0,0,1,0,0,107 days 00:00:00
466,A10716,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10627200.0,0,0,0,0,0,0,0,0,1,0,0,123 days 00:00:00
477,A10736,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10281600.0,0,0,0,0,0,0,0,0,1,0,0,119 days 00:00:00
478,A10737,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10108800.0,0,0,0,0,0,0,0,0,1,0,0,117 days 00:00:00
485,A10744,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10108800.0,0,0,0,0,0,0,0,0,1,0,0,117 days 00:00:00
486,A10745,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,8380800.0,0,0,0,0,0,0,0,0,1,0,0,97 days 00:00:00
490,A10752,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11574000.0,0,0,0,0,0,0,0,0,1,0,0,133 days 23:00:00
494,A10758,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10191600.0,0,0,0,0,0,0,0,0,1,0,0,117 days 23:00:00
495,A10759,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11487600.0,0,0,0,0,0,0,0,0,1,0,0,132 days 23:00:00
497,A10761,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10105200.0,0,0,0,0,0,0,0,0,1,0,0,116 days 23:00:00
498,A10762,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11401200.0,0,0,0,0,0,0,0,0,1,0,0,131 days 23:00:00
505,A10777,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9932400.0,0,0,0,0,0,0,0,0,1,0,0,114 days 23:00:00
511,A10786,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11228400.0,0,0,0,0,0,0,0,0,1,0,0,129 days 23:00:00
512,A10788,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11228400.0,0,0,0,0,0,0,0,0,1,0,0,129 days 23:00:00
515,A10790,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,11228400.0,0,0,0,0,0,0,0,0,1,0,0,129 days 23:00:00
521,A10799,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9846000.0,0,0,0,0,0,0,0,0,1,0,0,113 days 23:00:00
537,A10818,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,157,0.0,0,36.0,10022400.0,0,0,0,0,0,0,0,0,1,0,0,116 days 00:00:00
543,A10829,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,10022400.0,0,0,0,0,0,0,0,0,1,0,0,116 days 00:00:00
548,A10838,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9849600.0,0,0,0,0,0,0,0,0,1,0,0,114 days 00:00:00
551,A10844,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9763200.0,0,0,0,0,0,0,0,0,1,0,0,113 days 00:00:00
552,A10845,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,8294400.0,0,0,0,0,0,0,0,0,1,0,0,96 days 00:00:00
553,A10846,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,157,0.0,0,36.0,9676800.0,0,0,0,0,0,0,0,0,1,0,0,112 days 00:00:00
