,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,Surprisingness,Effectiveness
116,A1017,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,32.0,0,42.5,80438400.0,1,0,0,1,0,1,0,0,1,1,0,931 days 00:00:00,540839.4946020138,35479065632.57052
476,A10734,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,62640000.0,1,0,0,1,0,1,0,0,1,1,0,725 days 00:00:00,540839.4946020138,35479065632.57052
549,A10839,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,62208000.0,1,0,0,1,0,1,0,0,1,1,0,720 days 00:00:00,540839.4946020138,35479065632.57052
624,A10964,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,35.0,0,44.0,61948800.0,1,0,0,1,0,1,0,0,1,1,0,717 days 00:00:00,540839.4946020138,35479065632.57052
734,A11128,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,63072000.0,1,0,0,1,0,1,0,0,1,1,0,730 days 00:00:00,540839.4946020138,35479065632.57052
833,A11278,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,62467200.0,1,0,0,1,0,1,0,0,1,1,0,723 days 00:00:00,540839.4946020138,35479065632.57052
1201,A1183,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,30.0,0,71.5,82512000.0,1,0,0,1,0,1,0,0,1,1,0,955 days 00:00:00,540839.4946020138,35479065632.57052
1302,A11987,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,60912000.0,1,0,0,1,0,1,0,0,1,1,0,705 days 00:00:00,540839.4946020138,35479065632.57052
1335,A12041,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,59961600.0,1,0,0,1,0,1,0,0,1,1,0,694 days 00:00:00,540839.4946020138,35479065632.57052
1503,A12314,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,60393600.0,1,0,0,1,0,1,0,0,1,1,0,699 days 00:00:00,540839.4946020138,35479065632.57052
1607,A12501,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,59270400.0,1,0,0,1,0,1,0,0,1,1,0,686 days 00:00:00,540839.4946020138,35479065632.57052
1633,A12550,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,58752000.0,1,0,0,1,0,1,0,0,1,1,0,680 days 00:00:00,540839.4946020138,35479065632.57052
1652,A12590,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,58147200.0,1,0,0,1,0,1,0,0,1,1,0,673 days 00:00:00,540839.4946020138,35479065632.57052
1690,A12655,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,59011200.0,1,0,0,1,0,1,0,0,1,1,0,683 days 00:00:00,540839.4946020138,35479065632.57052
1855,A12944,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55468800.0,1,0,0,1,0,1,0,0,1,1,0,642 days 00:00:00,540839.4946020138,35479065632.57052
2049,A13306,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,57110400.0,1,0,0,1,0,1,0,0,1,1,0,661 days 00:00:00,540839.4946020138,35479065632.57052
2087,A13380,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,52963200.0,1,0,0,1,0,1,0,0,1,1,0,613 days 00:00:00,540839.4946020138,35479065632.57052
2221,A13613,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,56678400.0,1,0,0,1,0,1,0,0,1,1,0,656 days 00:00:00,540839.4946020138,35479065632.57052
2666,A14339,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55728000.0,1,0,0,1,0,1,0,0,1,1,0,645 days 00:00:00,540839.4946020138,35479065632.57052
3148,A15177,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,49.0,0,74.0,55209600.0,1,0,0,1,0,1,0,0,1,1,0,639 days 00:00:00,540839.4946020138,35479065632.57052
3195,A15243,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,35.5,0,44.0,65923200.0,1,0,0,1,0,1,0,0,1,1,0,763 days 00:00:00,540839.4946020138,35479065632.57052
3368,A15527,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,56851200.0,1,0,0,1,0,1,0,0,1,1,0,658 days 00:00:00,540839.4946020138,35479065632.57052
3588,A15925,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55987200.0,1,0,0,1,0,1,0,0,1,1,0,648 days 00:00:00,540839.4946020138,35479065632.57052
3740,A16155,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,54950400.0,1,0,0,1,0,1,0,0,1,1,0,636 days 00:00:00,540839.4946020138,35479065632.57052
3743,A16160,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,54432000.0,1,0,0,1,0,1,0,0,1,1,0,630 days 00:00:00,540839.4946020138,35479065632.57052
3918,A16436,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55641600.0,1,0,0,1,0,1,0,0,1,1,0,644 days 00:00:00,540839.4946020138,35479065632.57052
3948,A16485,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,49.0,0,74.0,55123200.0,1,0,0,1,0,1,0,0,1,1,0,638 days 00:00:00,540839.4946020138,35479065632.57052
3983,A16554,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55641600.0,1,0,0,1,0,1,0,0,1,1,0,644 days 00:00:00,540839.4946020138,35479065632.57052
4054,A16681,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,49.0,0,74.0,55123200.0,1,0,0,1,0,1,0,0,1,1,0,638 days 00:00:00,540839.4946020138,35479065632.57052
4055,A16685,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55123200.0,1,0,0,1,0,1,0,0,1,1,0,638 days 00:00:00,540839.4946020138,35479065632.57052
4072,A16712,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55209600.0,1,0,0,1,0,1,0,0,1,1,0,639 days 00:00:00,540839.4946020138,35479065632.57052
4076,A16720,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55123200.0,1,0,0,1,0,1,0,0,1,1,0,638 days 00:00:00,540839.4946020138,35479065632.57052
4298,A17108,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,49.0,0,74.0,53913600.0,1,0,0,1,0,1,0,0,1,1,0,624 days 00:00:00,540839.4946020138,35479065632.57052
4870,A18086,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,51840000.0,1,0,0,1,0,1,0,0,1,1,0,600 days 00:00:00,540839.4946020138,35479065632.57052
4969,A18254,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,54432000.0,1,0,0,1,0,1,0,0,1,1,0,630 days 00:00:00,540839.4946020138,35479065632.57052
4982,A18271,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,54259200.0,1,0,0,1,0,1,0,0,1,1,0,628 days 00:00:00,540839.4946020138,35479065632.57052
4987,A18287,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,157,49.0,0,74.0,65923200.0,0,0,0,1,0,1,0,0,1,1,1,763 days 00:00:00,540839.4946020138,35479065632.57052
5009,A18326,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,54604800.0,1,0,0,1,0,1,0,0,1,1,0,632 days 00:00:00,540839.4946020138,35479065632.57052
5088,A18458,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,54259200.0,1,0,0,1,0,1,0,0,1,1,0,628 days 00:00:00,540839.4946020138,35479065632.57052
5150,A18548,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,35.0,0,44.0,79142400.0,1,0,0,1,0,1,0,0,1,1,0,916 days 00:00:00,540839.4946020138,35479065632.57052
5168,A18582,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,52704000.0,1,0,0,1,0,1,0,0,1,1,0,610 days 00:00:00,540839.4946020138,35479065632.57052
5307,A18826,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,52790400.0,1,0,0,1,0,1,0,0,1,1,0,611 days 00:00:00,540839.4946020138,35479065632.57052
5361,A18907,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,53395200.0,1,0,0,1,0,1,0,0,1,1,0,618 days 00:00:00,540839.4946020138,35479065632.57052
5365,A18912,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,157,49.0,0,74.0,65145600.0,0,0,0,1,0,1,0,0,1,1,1,754 days 00:00:00,540839.4946020138,35479065632.57052
5504,A19120,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,53740800.0,1,0,0,1,0,1,0,0,1,1,0,622 days 00:00:00,540839.4946020138,35479065632.57052
5513,A19137,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,157,49.0,0,74.0,63331200.0,0,0,0,1,0,1,0,0,1,1,1,733 days 00:00:00,540839.4946020138,35479065632.57052
5681,A19459,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,53308800.0,1,0,0,1,0,1,0,0,1,1,0,617 days 00:00:00,540839.4946020138,35479065632.57052
5835,A19720,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,53049600.0,1,0,0,1,0,1,0,0,1,1,0,614 days 00:00:00,540839.4946020138,35479065632.57052
6281,A2042,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,82512000.0,1,0,0,1,0,1,0,0,1,1,0,955 days 00:00:00,540839.4946020138,35479065632.57052
6396,A20598,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,7,49.0,0,74.0,64800000.0,0,0,0,1,0,1,0,0,1,1,1,750 days 00:00:00,540839.4946020138,35479065632.57052
6477,A2074,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,81216000.0,1,0,0,1,0,1,0,0,1,1,0,940 days 00:00:00,540839.4946020138,35479065632.57052
6818,A21318,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,35.5,0,44.0,71366400.0,1,0,0,1,0,1,0,0,1,1,0,826 days 00:00:00,540839.4946020138,35479065632.57052
6829,A21331,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,41.1,0,44.0,68688000.0,1,0,0,1,0,1,0,0,1,1,0,795 days 00:00:00,540839.4946020138,35479065632.57052
6904,A21464,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,51926400.0,1,0,0,1,0,1,0,0,1,1,0,601 days 00:00:00,540839.4946020138,35479065632.57052
7423,A22352,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,35.0,0,44.0,52358400.0,1,0,0,1,0,1,0,0,1,1,0,606 days 00:00:00,540839.4946020138,35479065632.57052
7891,A2314,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,82166400.0,1,0,0,1,0,1,0,0,1,1,0,951 days 00:00:00,540839.4946020138,35479065632.57052
8640,A24399,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,83545200.0,1,0,0,1,0,1,0,0,1,1,0,966 days 23:00:00,540839.4946020138,35479065632.57052
8649,A24409,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,83458800.0,1,0,0,1,0,1,0,0,1,1,0,965 days 23:00:00,540839.4946020138,35479065632.57052
8720,A2453,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,81734400.0,1,0,0,1,0,1,0,0,1,1,0,946 days 00:00:00,540839.4946020138,35479065632.57052
9083,A25166,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,36.0,0,74.0,80521200.0,1,0,0,1,0,1,0,0,1,1,0,931 days 23:00:00,540839.4946020138,35479065632.57052
