,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
24708,C13735,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,193,0.0,0,1311.98,7779600.0,0,1,0,1,0,1,0,0,1,1,0,90 days 01:00:00,21,90,474946.6870736058,14485870610.526318
24765,C13892,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,193,655.0,0,1311.5,6303600.0,0,0,0,1,0,1,0,0,1,1,0,72 days 23:00:00,21,72,474946.6870736058,14485870610.526318
24952,C14365,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,193,662.7,0,1311.98,8899200.0,0,0,0,1,0,1,0,0,1,1,0,103 days 00:00:00,21,103,474946.6870736058,14485870610.526318
25337,C15226,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,193,687.75,0,687.75,432000.0,0,0,0,0,0,0,0,0,1,0,0,5 days 00:00:00,21,5,474946.6870736058,14485870610.526318
25600,C16190,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,193,687.75,0,1377.07,5270400.0,0,0,0,1,0,1,0,0,1,1,0,61 days 00:00:00,21,61,474946.6870736058,14485870610.526318
26010,C17577,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,687.75,5014800.0,0,0,0,0,0,0,0,0,1,0,0,58 days 01:00:00,21,58,474946.6870736058,14485870610.526318
26015,C17589,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,716.0,10458000.0,0,0,0,0,0,0,0,0,1,0,0,121 days 01:00:00,21,121,474946.6870736058,14485870610.526318
26174,C18067,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,193,716.0,0,1433.5,5270400.0,0,0,0,1,0,1,0,0,1,1,0,61 days 00:00:00,21,61,474946.6870736058,14485870610.526318
26175,C18068,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,180,357.0,0,716.5,5270400.0,0,0,0,1,0,1,0,0,1,1,0,61 days 00:00:00,21,61,474946.6870736058,14485870610.526318
26189,C18104,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,193,0.0,0,1433.5,10026000.0,0,1,0,1,0,1,0,0,1,1,0,116 days 01:00:00,21,116,474946.6870736058,14485870610.526318
26607,C19155,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,716.0,9500400.0,0,0,0,0,0,0,0,0,1,0,0,109 days 23:00:00,21,109,474946.6870736058,14485870610.526318
26710,C19400,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,742.0,8812800.0,0,0,0,0,0,0,0,0,1,0,0,102 days 00:00:00,21,102,474946.6870736058,14485870610.526318
26717,C19427,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,193,742.0,0,1485.0,5184000.0,1,0,0,1,0,1,0,0,1,1,0,60 days 00:00:00,21,60,474946.6870736058,14485870610.526318
26755,C19549,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,779.0,9414000.0,0,0,0,0,0,0,0,0,1,0,0,108 days 23:00:00,21,108,474946.6870736058,14485870610.526318
27139,C20556,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,779.0,11581200.0,0,0,0,0,0,0,0,0,1,0,0,134 days 01:00:00,21,134,474946.6870736058,14485870610.526318
27186,C20688,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,779.0,9936000.0,0,0,0,0,0,0,0,0,1,0,0,115 days 00:00:00,21,115,474946.6870736058,14485870610.526318
27245,C20860,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,193,798.0,0,798.0,1209600.0,0,0,0,0,0,0,0,0,1,0,0,14 days 00:00:00,21,14,474946.6870736058,14485870610.526318
27556,C21630,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,779.0,6566400.0,0,0,0,0,0,0,0,0,1,0,0,76 days 00:00:00,21,76,474946.6870736058,14485870610.526318
27804,C22290,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,798.0,6134400.0,0,0,0,0,0,0,0,0,1,0,0,71 days 00:00:00,21,71,474946.6870736058,14485870610.526318
27868,C22436,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,798.0,8467200.0,0,0,0,0,0,0,0,0,1,0,0,98 days 00:00:00,21,98,474946.6870736058,14485870610.526318
27993,C23357,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,193,1597.0,0,1597.0,8643600.0,0,0,0,1,0,1,0,0,1,1,0,100 days 01:00:00,21,100,474946.6870736058,14485870610.526318
28007,L2104,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,180,0.0,0,798.0,7603200.0,0,1,0,1,0,1,0,0,1,1,0,88 days 00:00:00,21,88,474946.6870736058,14485870610.526318
28017,L2355,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,180,0.0,0,798.0,7952400.0,0,1,0,1,0,1,0,0,1,1,0,92 days 01:00:00,21,92,474946.6870736058,14485870610.526318
28020,L2403,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,180,0.0,0,798.0,6652800.0,0,1,0,1,0,1,0,0,1,1,0,77 days 00:00:00,21,77,474946.6870736058,14485870610.526318
28023,L2412,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,180,206.5,0,798.0,14252400.0,1,0,0,1,0,1,0,0,1,1,0,164 days 23:00:00,21,164,474946.6870736058,14485870610.526318
28025,L2427,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,180,0.0,0,798.0,6652800.0,0,1,0,1,0,1,0,0,1,1,0,77 days 00:00:00,21,77,474946.6870736058,14485870610.526318
28037,L2647,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,180,108.5,0,841.0,7340400.0,0,0,0,1,0,1,0,0,1,1,0,84 days 23:00:00,21,84,474946.6870736058,14485870610.526318
28039,L2716,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,180,0.0,0,841.0,6044400.0,0,1,0,1,0,1,0,0,1,1,0,69 days 23:00:00,21,69,474946.6870736058,14485870610.526318
28040,L2717,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,180,0.0,0,841.0,6044400.0,0,1,0,1,0,1,0,0,1,1,0,69 days 23:00:00,21,69,474946.6870736058,14485870610.526318
28041,L2722,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,180,217.0,0,841.0,7426800.0,1,0,0,1,0,1,0,0,1,1,0,85 days 23:00:00,21,85,474946.6870736058,14485870610.526318
87285,S127904,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,742.0,5011200.0,0,0,0,0,0,0,0,0,1,0,0,58 days 00:00:00,21,58,474946.6870736058,14485870610.526318
103423,S158286,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,180,402.5,0,779.5,5965200.0,0,0,0,1,0,1,0,0,1,1,0,69 days 01:00:00,21,69,474946.6870736058,14485870610.526318
103434,S158299,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,193,0.0,0,779.0,2163600.0,0,0,0,0,0,0,0,0,1,0,0,25 days 01:00:00,21,25,474946.6870736058,14485870610.526318
104972,S161399,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,180,50.0,0,798.0,14000400.0,0,0,0,1,0,1,0,0,1,1,0,162 days 01:00:00,21,162,474946.6870736058,14485870610.526318
108727,S168891,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,401,39.0,0,39.0,604800.0,0,0,0,0,0,0,0,0,1,0,0,7 days 00:00:00,21,7,474946.6870736058,14485870610.526318
113172,S178210,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,180,0.0,0,798.0,10710000.0,0,1,0,1,0,1,0,0,1,1,0,123 days 23:00:00,21,123,474946.6870736058,14485870610.526318
113542,S179663,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,401,39.0,0,39.0,432000.0,0,0,0,0,0,0,0,0,1,0,0,5 days 00:00:00,21,5,474946.6870736058,14485870610.526318
115194,S186084,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,401,0.0,0,79.5,13482000.0,0,1,0,1,0,1,0,0,1,1,0,156 days 01:00:00,21,156,474946.6870736058,14485870610.526318
