,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
24306,C12746,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,146,0.0,0,62.59,136083600.0,0,0,0,1,0,1,0,0,1,1,1,1575 days 01:00:00,23,1575,1932059.3546186665,6182589909.224905
24307,C12747,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,143,0.0,0,250.38,136083600.0,0,0,0,1,0,1,0,0,1,1,1,1575 days 01:00:00,23,1575,1932059.3546186665,6182589909.224905
26097,C17832,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,116,0.0,0,716.5,210646800.0,0,1,0,1,0,1,0,0,1,1,0,2438 days 01:00:00,23,2438,1932059.3546186665,6182589909.224905
26400,C18622,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,136,0.0,0,0.0,174272400.0,0,1,0,1,0,1,0,0,1,1,0,2017 days 01:00:00,23,2017,1932059.3546186665,6182589909.224905
117462,S38092,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,143,0.0,0,250.38,374889600.0,0,1,0,1,0,1,0,0,1,1,0,4339 days 00:00:00,23,4339,1932059.3546186665,6182589909.224905
144901,V10503,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,262.0,291344400.0,0,1,0,1,0,1,0,0,1,1,0,3372 days 01:00:00,23,3372,1932059.3546186665,6182589909.224905
144969,V10641,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,262.0,290048400.0,0,1,0,1,0,1,0,0,1,1,0,3357 days 01:00:00,23,3357,1932059.3546186665,6182589909.224905
145993,V15912,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,71.5,173322000.0,0,1,0,1,0,1,0,0,1,1,0,2006 days 01:00:00,23,2006,1932059.3546186665,6182589909.224905
147107,V3904,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,62.59,377740800.0,0,1,0,1,0,1,0,0,1,1,0,4372 days 00:00:00,23,4372,1932059.3546186665,6182589909.224905
147236,V4169,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,142,250.4,0,250.38,180226800.0,0,0,0,1,0,1,0,0,1,1,1,2085 days 23:00:00,23,2085,1932059.3546186665,6182589909.224905
147299,V4290,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,250.38,375062400.0,0,1,0,1,0,1,0,0,1,1,0,4341 days 00:00:00,23,4341,1932059.3546186665,6182589909.224905
147336,V4358,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,250.38,373248000.0,0,1,0,1,0,1,0,0,1,1,0,4320 days 00:00:00,23,4320,1932059.3546186665,6182589909.224905
147370,V4425,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,250.38,372211200.0,0,1,0,1,0,1,0,0,1,1,0,4308 days 00:00:00,23,4308,1932059.3546186665,6182589909.224905
