,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:dismissal@4,event:dismissal@@,event:dismissal@D,event:dismissal@G,event:dismissal@NIL,event:dismissal@Z,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
56567,A11664,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,12614400.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56596,A12078,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,12182400.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56599,A12115,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11664000.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56624,A12748,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,12531600.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56633,A13059,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11059200.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56641,A13349,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11667600.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56669,A13906,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,7,49.0,0,13.0,74.0,12358800.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56672,A13975,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,12618000.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56675,A14063,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,10972800.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56677,A14084,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11235600.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56690,A14358,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,13050000.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56699,A14538,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,12877200.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56747,A15579,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11494800.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56748,A15686,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11404800.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56751,A15742,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11754000.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56794,A16755,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,13050000.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56832,A17335,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,12358800.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56936,A19393,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,10112400.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56947,A19626,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,7,35.0,0,13.0,44.0,12963600.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56959,A19880,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,10803600.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56964,A19930,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,157,49.0,0,13.0,74.0,11149200.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
56981,A20330,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,7,35.0,0,13.0,44.0,10105200.0,0,0,0,1,0,1,0,0,1,1,0,438015.8357281996,3243069087090.054
