,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@D,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
0,A10102,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,20214000.0,0,1,0,1,0,1,0,0,1,1,0
1,A10495,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,158,0.0,0,148.0,149648400.0,0,1,0,1,0,1,0,0,1,1,0
2,A10625,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,19785600.0,0,1,0,1,0,1,0,0,1,1,0
3,A1089,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,71.5,25488000.0,0,1,0,1,0,1,0,0,1,1,0
4,A10981,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,148179600.0,0,1,0,1,0,1,0,0,1,1,0
5,A11053,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,21344400.0,0,1,0,1,0,1,0,0,1,1,0
6,A13382,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,23500800.0,0,1,0,1,0,1,0,0,1,1,0
7,A150,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,158,0.0,2,143.0,29203200.0,0,1,0,1,0,1,0,0,1,1,0
8,A15030,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,20739600.0,0,1,0,1,0,1,0,0,1,1,0
9,A15369,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,16938000.0,0,1,0,1,0,1,0,0,1,1,0
10,A1567,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,16.6,7,0.0,0,42.5,31017600.0,0,1,0,1,0,1,0,0,1,1,0
11,A16370,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,42685200.0,0,1,0,1,0,1,0,0,1,1,0
12,A17885,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,7,0.0,0,74.0,17715600.0,0,1,0,1,0,1,0,0,1,1,0
13,A18726,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,18316800.0,0,1,0,1,0,1,0,0,1,1,0
