,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
0,A13617,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,157,0.0,0,74.0,56505600.0,0,1,1,1,1,1,1,0,1,1,0
1,A14652,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,98236800.0,0,1,1,1,1,1,1,0,1,1,0
2,A14910,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,157,0.0,0,74.0,57283200.0,0,1,1,1,1,1,1,0,1,1,0
3,A16006,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,97286400.0,0,1,1,1,1,1,1,0,1,1,0
4,A18742,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,97200000.0,0,1,1,1,1,1,1,0,1,1,0
5,A23324,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,91580400.0,0,1,1,1,1,1,1,0,1,1,0
6,A23667,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,40086000.0,0,1,1,1,1,1,1,0,1,1,0
7,A23740,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,87174000.0,0,1,1,1,1,1,1,0,1,1,0
8,A23823,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,87606000.0,0,1,1,1,1,1,1,0,1,1,0
9,A24454,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,88210800.0,0,1,1,1,1,1,1,0,1,1,0
