,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@$,event:dismissal@G,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
0,A10619,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,94.0,0,22.0,74.0,49590000.0,0,1,1,1,1,1,1,0,1,1,0
1,A10858,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,42073200.0,0,1,1,1,1,1,1,0,1,1,0
2,A13217,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,23590800.0,0,1,1,1,1,1,1,0,1,1,0
3,A1327,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,33177600.0,0,1,1,1,1,1,1,0,1,1,0
4,A15045,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,94.0,0,22.0,74.0,18493200.0,0,1,1,1,1,1,1,0,1,1,0
5,A18881,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,98.0,0,26.0,74.0,23673600.0,0,1,1,1,1,1,1,0,1,1,0
6,A20843,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,94.0,0,22.0,74.0,16678800.0,0,1,1,1,1,1,1,0,1,1,0
7,A21826,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,29635200.0,0,1,1,1,1,1,1,0,1,1,0
8,A25580,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,19782000.0,0,1,1,1,1,1,1,0,1,1,0
9,A27320,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,17629200.0,0,1,1,1,1,1,1,0,1,1,0
10,A28156,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,26.0,74.0,18925200.0,0,1,1,1,1,1,1,0,1,1,0
11,A31837,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,15642000.0,0,1,1,1,1,1,1,0,1,1,0
12,A32200,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,15642000.0,0,1,1,1,1,1,1,0,1,1,0
13,A41175,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,102.0,0,26.0,77.5,18320400.0,0,1,1,1,1,1,1,0,1,1,0
14,A527,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,30585600.0,0,1,1,1,1,1,1,0,1,1,0
15,A5921,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,64.0,0,22.0,42.5,22806000.0,0,1,1,1,1,1,1,0,1,1,0
16,A8704,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,94.0,0,22.0,74.0,27129600.0,0,1,1,1,1,1,1,0,1,1,0
17,C18557,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,169,308.0,0,22.0,286.5,14778000.0,0,1,1,1,1,1,1,0,1,1,0
18,C21865,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,173,322.0,5,26.0,297.0,13395600.0,0,1,1,1,1,1,1,0,1,1,0
19,N100184,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,31017600.0,0,1,1,1,1,1,1,0,1,1,0
20,N100622,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,69379200.0,0,1,1,1,1,1,1,0,1,1,0
21,N101313,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,33955200.0,0,1,1,1,1,1,1,0,1,1,0
22,N101886,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,39225600.0,0,1,1,1,1,1,1,0,1,1,0
23,N102385,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,26092800.0,0,1,1,1,1,1,1,0,1,1,0
24,N102852,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,33609600.0,0,1,1,1,1,1,1,0,1,1,0
25,N35111,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,79.03,0,6.71,65.6,35078400.0,0,1,1,1,1,1,1,0,1,1,0
26,N41914,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,87.0,0,13.0,65.5,30499200.0,0,1,1,1,1,1,1,0,1,1,0
27,N43492,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,80.0,0,16.0,65.5,38275200.0,0,1,1,1,1,1,1,0,1,1,0
28,N45711,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,80.0,0,16.0,65.5,31881600.0,0,1,1,1,1,1,1,0,1,1,0
29,N46032,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,80.0,0,16.0,65.5,26434800.0,0,1,1,1,1,1,1,0,1,1,0
30,N56621,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,29721600.0,0,1,1,1,1,1,1,0,1,1,0
31,N57383,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,27302400.0,0,1,1,1,1,1,1,0,1,1,0
32,N58140,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,30672000.0,0,1,1,1,1,1,1,0,1,1,0
33,N59523,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,31363200.0,0,1,1,1,1,1,1,0,1,1,0
34,N60205,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,55.9,0,16.0,40.95,31363200.0,0,1,1,1,1,1,1,0,1,1,0
35,N60309,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,36547200.0,0,1,1,1,1,1,1,0,1,1,0
36,N60368,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,36460800.0,0,1,1,1,1,1,1,0,1,1,0
37,N60867,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,35942400.0,0,1,1,1,1,1,1,0,1,1,0
38,N61437,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,27388800.0,0,1,1,1,1,1,1,0,1,1,0
39,N62001,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,27734400.0,0,1,1,1,1,1,1,0,1,1,0
40,N62809,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,23932800.0,0,1,1,1,1,1,1,0,1,1,0
41,N66715,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,33267600.0,0,1,1,1,1,1,1,0,1,1,0
42,N67607,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,29894400.0,0,1,1,1,1,1,1,0,1,1,0
43,N68456,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,63763200.0,0,1,1,1,1,1,1,0,1,1,0
44,N70414,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,58.0,0,16.0,42.5,30931200.0,0,1,1,1,1,1,1,0,1,1,0
45,N71771,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,86.0,0,16.0,71.5,112060800.0,0,1,1,1,1,1,1,0,1,1,0
46,N73244,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,86.0,0,16.0,71.5,48992400.0,0,1,1,1,1,1,1,0,1,1,0
47,N77357,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,30499200.0,0,1,1,1,1,1,1,0,1,1,0
48,N77358,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,74394000.0,0,1,1,1,1,1,1,0,1,1,0
49,N78442,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,31449600.0,0,1,1,1,1,1,1,0,1,1,0
50,N79221,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,86.0,0,16.0,71.5,31795200.0,0,1,1,1,1,1,1,0,1,1,0
51,N79255,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,86.0,0,16.0,71.5,31708800.0,0,1,1,1,1,1,1,0,1,1,0
52,N81094,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,31536000.0,0,1,1,1,1,1,1,0,1,1,0
53,N82591,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,31276800.0,0,1,1,1,1,1,1,0,1,1,0
54,N82875,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,28944000.0,0,1,1,1,1,1,1,0,1,1,0
55,N84090,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,38970000.0,0,1,1,1,1,1,1,0,1,1,0
56,N84787,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,24796800.0,0,1,1,1,1,1,1,0,1,1,0
57,N86607,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,28512000.0,0,1,1,1,1,1,1,0,1,1,0
58,N86663,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,97808400.0,0,1,1,1,1,1,1,0,1,1,0
59,N86941,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,24451200.0,0,1,1,1,1,1,1,0,1,1,0
