,@@case_id_column,event:lastSent@N,event:lastSent@P,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
0,A20157,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,22032000.0,0,1,1,1,1,1,1,0,1,1,0
1,A26598,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,47257200.0,0,1,1,1,1,1,1,0,1,1,0
2,N35780,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.43,157,79.03,0,65.6,30153600.0,0,1,1,1,1,1,1,0,1,1,0
3,N44017,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.0,157,77.0,0,65.5,37324800.0,0,1,1,1,1,1,1,0,1,1,0
4,N81255,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,86.0,0,71.5,23155200.0,0,1,1,1,1,1,1,0,1,1,0
5,S122975,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,26.0,158,98.0,0,74.0,16934400.0,0,1,1,1,1,1,1,0,1,1,0
6,S162504,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,26.0,158,186.0,0,159.0,10364400.0,0,1,1,1,1,1,1,0,1,1,0
7,S176080,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,45.0,7,123.0,0,79.5,23158800.0,0,1,1,1,1,1,1,0,1,1,0
8,S181137,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,30.0,7,108.0,0,79.5,15642000.0,0,1,1,1,1,1,1,0,1,1,0
9,S63226,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.43,158,79.03,0,65.6,20394000.0,0,1,1,1,1,1,1,0,1,1,0
10,S64488,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.43,158,144.63,0,131.2,32832000.0,0,1,1,1,1,1,1,0,1,1,0
11,S65168,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.43,157,79.03,0,65.6,34905600.0,0,1,1,1,1,1,1,0,1,1,0
12,S66061,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.43,158,79.03,0,65.6,18147600.0,0,1,1,1,1,1,1,0,1,1,0
13,S96010,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,16.6,7,83.2,0,68.77,22896000.0,0,1,1,1,1,1,1,0,1,1,0
14,V12270,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,16.0,142,291.1,0,275.1,23590800.0,0,1,1,1,1,1,1,0,1,1,0
15,A29455,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,26.0,157,0.0,0,74.0,118368000.0,0,1,1,1,1,1,1,0,1,1,1
16,A37341,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,20905200.0,0,0,1,1,0,1,1,0,1,1,0
17,C14426,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,20,0.0,0,262.4,68774400.0,0,1,1,1,1,1,1,0,1,1,0
