,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@C,event:dismissal@D,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
0,A10001,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16326000.0,0,1,0,1,0,1,0,1,1,0
1,A10107,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17449200.0,0,1,0,1,0,1,0,1,1,0
2,A10236,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17708400.0,0,1,0,1,0,1,0,1,1,0
3,A10411,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,44.0,18921600.0,0,1,0,1,0,1,0,1,1,0
4,A10657,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,19098000.0,0,1,0,1,0,1,0,1,1,0
5,A10740,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17888400.0,0,1,0,1,0,1,0,1,1,0
6,A10929,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,18.6,74.0,21517200.0,0,1,0,1,0,1,0,1,1,0
7,A10954,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17715600.0,0,1,0,1,0,1,0,1,1,0
8,A11065,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,148870800.0,0,1,0,1,0,1,0,1,1,0
9,A11205,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,158,0.0,0,13.0,74.0,16930800.0,0,1,0,1,0,1,0,1,1,0
10,A11293,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17715600.0,0,1,0,1,0,1,0,1,1,0
11,A11347,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16506000.0,0,1,0,1,0,1,0,1,1,0
12,A11475,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147574800.0,0,1,0,1,0,1,0,1,1,0
13,A11506,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17715600.0,0,1,0,1,0,1,0,1,1,0
14,A11523,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,17542800.0,0,1,0,1,0,1,0,1,1,0
15,A11536,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17283600.0,0,1,0,1,0,1,0,1,1,0
16,A11587,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147661200.0,0,1,0,1,0,1,0,1,1,0
17,A11616,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16938000.0,0,1,0,1,0,1,0,1,1,0
18,A11811,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17024400.0,0,1,0,1,0,1,0,1,1,0
19,A11866,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14342400.0,0,1,0,1,0,1,0,1,1,0
20,A11901,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147574800.0,0,1,0,1,0,1,0,1,1,0
21,A122,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,19270800.0,0,1,0,1,0,1,0,1,1,0
22,A12379,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17542800.0,0,1,0,1,0,1,0,1,1,0
23,A12400,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14691600.0,0,1,0,1,0,1,0,1,1,0
24,A12453,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14259600.0,0,1,0,1,0,1,0,1,1,0
25,A12462,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16851600.0,0,1,0,1,0,1,0,1,1,0
26,A12502,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17283600.0,0,1,0,1,0,1,0,1,1,0
27,A12531,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16938000.0,0,1,0,1,0,1,0,1,1,0
28,A12584,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13568400.0,0,1,0,1,0,1,0,1,1,0
29,A12593,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,15987600.0,0,1,0,1,0,1,0,1,1,0
30,A12614,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17802000.0,0,1,0,1,0,1,0,1,1,0
31,A12714,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13914000.0,0,1,0,1,0,1,0,1,1,0
32,A1278,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,17974800.0,0,1,0,1,0,1,0,1,1,0
33,A1280,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,169002000.0,0,1,0,1,0,1,0,1,1,0
34,A12824,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13222800.0,0,1,0,1,0,1,0,1,1,0
35,A12846,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,15642000.0,0,1,0,1,0,1,0,1,1,0
36,A12866,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14864400.0,0,1,0,1,0,1,0,1,1,0
37,A131,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,16.6,71.5,36115200.0,0,1,0,1,0,1,0,1,1,0
38,A13159,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13741200.0,0,1,0,1,0,1,0,1,1,0
39,A13162,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,158,0.0,0,13.0,74.0,13568400.0,0,1,0,1,0,1,0,1,1,0
40,A13344,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,18.6,74.0,14432400.0,0,1,0,1,0,1,0,1,1,0
41,A13348,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,9331200.0,0,1,0,1,0,1,0,1,1,0
42,A13412,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,135824400.0,0,1,0,1,0,1,0,1,1,0
43,A13515,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,12099600.0,0,1,0,1,0,1,0,1,1,0
44,A13531,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14605200.0,0,1,0,1,0,1,0,1,1,0
45,A13554,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,12445200.0,0,1,0,1,0,1,0,1,1,0
46,A13601,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,12099600.0,0,1,0,1,0,1,0,1,1,0
47,A13648,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,142131600.0,0,1,0,1,0,1,0,1,1,0
48,A13728,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11667600.0,0,1,0,1,0,1,0,1,1,0
49,A13777,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,15901200.0,0,1,0,1,0,1,0,1,1,0
50,A13911,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,74.0,14950800.0,0,1,0,1,0,1,0,1,1,0
51,A14001,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,143600400.0,0,1,0,1,0,1,0,1,1,0
52,A14156,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,142822800.0,0,1,0,1,0,1,0,1,1,0
53,A14298,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17024400.0,0,1,0,1,0,1,0,1,1,0
54,A14314,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11494800.0,0,1,0,1,0,1,0,1,1,0
55,A14432,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,12877200.0,0,1,0,1,0,1,0,1,1,0
56,A14654,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17971200.0,0,1,0,1,0,1,0,1,1,0
57,A14679,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,135219600.0,0,1,0,1,0,1,0,1,1,0
58,A15224,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.5,44.0,12704400.0,0,1,0,1,0,1,0,1,1,0
