,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Payment,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@NIL,event:expense,event:article,event:paymentAmount,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
0,A12991,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,157,38.0,125.0,0,74.0,24541200.0,2,0,1,0,1,0,1,1,0
1,A1339,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.0,157,36.5,119.0,0,71.5,29203200.0,2,0,1,0,1,0,1,1,0
2,A16247,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,157,7.0,87.0,0,74.0,45104400.0,2,0,1,0,1,0,1,1,0
3,A20114,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,157,87.0,172.0,0,74.0,35686800.0,2,0,1,0,1,0,1,1,0
4,A26059,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,157,38.0,125.0,0,74.0,27903600.0,2,0,1,0,1,0,1,1,0
5,A27247,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,157,87.0,223.0,0,74.0,69033600.0,2,0,1,0,1,0,1,1,0
6,A27269,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,38.0,125.5,0,74.0,36547200.0,2,0,1,0,1,0,1,1,0
7,A32150,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,38.0,125.5,0,74.0,59011200.0,2,0,1,0,1,0,1,1,0
8,A32633,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,19.1,7,93.1,241.3,0,74.0,54086400.0,2,0,1,0,1,0,1,1,0
9,A34878,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,87.5,224.5,0,74.0,58233600.0,2,0,1,0,1,0,1,1,0
10,A40581,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,21.0,91.0,0,77.5,84848400.0,2,0,1,0,1,0,1,1,0
11,A45766,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,31.0,91.0,0,77.5,75171600.0,2,0,1,0,1,0,1,1,0
12,A9579,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,7,57.0,114.0,0,44.0,52009200.0,2,0,1,0,1,0,1,1,0
13,C19438,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0.0,146,142.0,428.0,6,285.0,50115600.0,2,0,1,0,1,0,1,1,0
14,C21387,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,80,104.0,312.0,0,312.0,57628800.0,2,0,1,0,1,0,1,1,0
15,C21583,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,145,99.5,299.5,5,299.5,35514000.0,2,0,1,0,1,0,1,1,0
16,L2406,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,180,103.25,309.75,0,798.0,12956400.0,2,0,1,0,1,0,1,1,0
17,L2413,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,180,103.25,309.75,0,798.0,12438000.0,2,0,1,0,1,0,1,1,0
18,N33317,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.88,157,63.5,140.98,0,65.6,30762000.0,2,0,1,0,1,0,1,1,0
19,N41789,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,10.0,157,13.5,75.5,0,65.5,48211200.0,2,0,1,0,1,0,1,1,0
20,N61094,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,16.6,157,35.17,120.54,0,68.77,53481600.0,2,0,1,0,1,0,1,1,0
21,N83410,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,14.25,157,39.75,125.5,0,71.5,38365200.0,2,0,1,0,1,0,1,1,0
22,N85954,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.0,157,33.25,82.5,0,71.5,25660800.0,2,0,1,0,1,0,1,1,0
23,N97564,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,14.25,157,26.0,86.0,0,71.5,54090000.0,2,0,1,0,1,0,1,1,0
