,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:dismissal@4,event:dismissal@@,event:dismissal@D,event:dismissal@G,event:dismissal@NIL,event:dismissal@Z,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
975,A14877,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,24.2,74.0,104112000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
1112,A15460,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,74.0,105494400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
1264,A16236,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,74.0,101001600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
1288,A16344,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,18.6,74.0,103075200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
1839,A19195,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,18.6,74.0,98496000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
2439,A21884,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,18.6,44.0,99014400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
2494,A22126,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,74.0,96768000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
2562,A22450,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,19.1,46.0,95727600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
2663,A23033,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,74.0,94262400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
3758,A29441,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,114998400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4402,A32823,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,94003200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4403,A32825,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93398400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4972,A35696,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,96246000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4987,A35775,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4988,A35776,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4989,A35777,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93916800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4990,A35778,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93916800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4991,A35782,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
4992,A35783,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5153,A36729,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,19.1,77.5,100047600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5287,A37393,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,94604400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5288,A37395,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93744000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5289,A37396,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5324,A37571,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,74.0,106441200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5414,A38289,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5415,A38293,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93657600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5416,A38297,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,92966400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5417,A38299,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,92793600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5448,A38499,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,19.1,74.0,102898800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5488,A38768,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,5.6,77.5,98233200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5492,A38786,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,19.1,77.5,97974000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5584,A39352,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94604400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5585,A39354,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
