,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@D,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
1,A10495,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,158,0.0,0,148.0,149648400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
4,A10981,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,148179600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
16,A20789,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,110077200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
20,A25160,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,118368000.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
26,A29371,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,113187600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
27,A29395,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,112582800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
28,A29792,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,110941200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
30,A30459,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,110682000.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
37,A33135,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,108781200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
39,A33571,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,7,0.0,0,74.0,108262800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
59,A7664,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,71.5,157852800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
80,C17195,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,20,0.0,0,275.1,222048000.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
81,C17832,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,116,0.0,0,716.5,210646800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
84,C18717,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,193,0.0,0,1433.5,171248400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
86,C19090,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,716.5,168224400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
89,C19622,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,20,0.0,0,297.0,107139600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
128,N50103,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,10.0,157,0.0,0,68.77,265251600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
130,N55892,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,237430800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
133,N57666,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,235789200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
134,N59698,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,233974800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
136,N62675,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,231555600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
139,N66645,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,16.6,157,0.0,0,68.77,225594000.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
143,N70546,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,16.6,157,0.0,0,71.5,216950400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
145,N76186,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,14.25,157,0.0,0,71.5,203821200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
146,N77259,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,14.25,7,0.0,0,71.5,203216400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
150,N77840,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,71.5,212288400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
151,N77883,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,71.5,211424400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
159,N89600,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,14.25,157,0.0,0,71.5,189907200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
194,S106401,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,7,0.0,0,71.5,202093200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
209,S117937,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,158,0.0,0,71.5,159321600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
211,S118703,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,158,0.0,0,143.0,158198400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
216,S120782,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,146,0.0,6,285.0,138070800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
219,S123672,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,158,0.0,0,148.0,122947200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
223,S124968,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,109386000.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
229,S127896,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,7,0.0,0,74.0,106448400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
360,S80888,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,10.0,7,0.0,0,68.77,266115600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
