,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
8,A1008,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,18921600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
19,A10184,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17362800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
99,A10712,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,18406800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
156,A11154,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,18320400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
203,A11559,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17197200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
210,A11614,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,23850000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
354,A13105,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17280000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
380,A1334,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20217600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
386,A13400,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,18406800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
436,A13912,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,36.0,15814800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
438,A13925,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,15728400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
471,A1422,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19526400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
478,A143,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,20908800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
539,A1492,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20476800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
588,A1533,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20131200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
614,A156,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20822400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
672,A16116,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17280000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
802,A1729,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,20131200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
835,A17739,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,22809600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
876,A18143,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,23241600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
882,A18176,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,16678800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
883,A18192,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,22464000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
901,A18388,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17974800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
908,A1847,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20044800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
944,A1876,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20476800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
977,A19023,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17629200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1039,A19477,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17283600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1091,A19812,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,18320400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1104,A19943,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,22550400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1118,A20048,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,21168000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1129,A20133,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,22032000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
