,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@$,event:dismissal@G,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
20,N100622,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,69379200.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
43,N68456,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,63763200.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
45,N71771,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,86.0,0,16.0,71.5,112060800.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
48,N77358,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,74394000.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
58,N86663,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,97808400.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
70,S108599,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,72316800.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
87,S143222,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,102.0,0,26.0,77.5,66528000.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
95,S158671,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,72.0,0,26.0,46.0,58233600.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
98,S164068,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,104.0,0,26.0,79.5,50194800.0,0,1,1,1,1,1,1,0,1,1,0,507355.1628016944,1420594170.4918032
184,N57002,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,90.0,0,16.0,68.77,132969600.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
