,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@C,event:dismissal@D,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
8,A11065,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,148870800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
12,A11475,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147574800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
16,A11587,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147661200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
20,A11901,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,147574800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
33,A1280,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,169002000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
37,A131,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,16.6,71.5,36115200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
42,A13412,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,135824400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
47,A13648,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,142131600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
51,A14001,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,143600400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
52,A14156,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,142822800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
57,A14679,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,135219600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
65,A15991,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,141613200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
71,A16698,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,141440400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
75,A17354,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140662800.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
77,A17393,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140058000.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
82,A18052,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,138848400.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
84,A18299,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,74.0,140403600.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
86,A18455,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140749200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
90,A18693,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,136861200.0,0,1,0,1,0,1,0,1,1,0,1262033.4367899578,52248177771.89781
